Latitude,Longitude,MAT,MAP,LC_IGBP,FLUXCOM_GPP,FLUXCOM_GPP_filter
-70.75,142.25,-33.81,592.32,15,NaN,NaN
46.25,-120.25,10.87,208.64,10,1.4147,1.4147
-83.25,-46.25,-27.25,188.35,15,NaN,NaN
-83.25,46.25,-53.9,21.07,15,NaN,NaN
46.25,120.25,0.28,448.86,10,1.3532,1.3532
-29.25,144.75,21.18,308.82,10,0.52603,0.52603
44.25,-76.25,7.27,915.94,17,2.5966,NaN
44.25,76.25,8.75,357.41,10,0.49871,0.49871
-81.25,-147.25,-21.1,231.89,15,NaN,NaN
58.25,-99.25,-2.56,522.17,9,0.91915,0.91915
58.25,99.25,-3.54,328.62,5,2.1717,2.1717
-81.25,147.25,-34.02,187.48,15,NaN,NaN
43.75,-113.25,0.76,244.56,10,0.81323,0.81323
55.75,44.25,4.36,566.3,12,1.8172,1.8172
11.75,103.75,22.07,2148.8,2,6.6829,6.6829
69.25,-40.75,-27.6,505.63,15,NaN,NaN
55.75,-73.25,-3.82,685.9,9,0.83977,0.83977
55.75,73.25,1.1,396.41,9,1.6082,1.6082
-73.25,-97.25,-18.35,632.5,15,NaN,NaN
73.25,97.25,-13.88,275.79,7,0.38945,0.38945
-73.25,97.25,-45.56,201.57,15,NaN,NaN
-79.25,-102.25,-29.76,216.93,15,NaN,NaN
53.75,42.25,4.86,506.92,8,2.687,2.687
-79.25,102.25,-54.63,26.87,15,NaN,NaN
41.75,-119.25,5.78,267.28,10,0.38714,0.38714
41.75,119.25,6.83,485.31,10,1.5816,1.5816
-7.75,-43.75,26.25,922.24,9,3.3936,3.3936
7.75,43.75,25.19,435.8,7,0.41196,0.41196
47.25,-120.25,5.24,215.91,1,1.253,1.253
47.25,120.25,-3.32,406.4,8,1.9091,1.9091
76.25,-46.25,-23.21,166.25,15,NaN,NaN
-76.25,46.25,-50.53,99.08,15,NaN,NaN
75.75,-41.25,-25.73,191.48,15,NaN,NaN
-75.75,41.25,-48.85,125.39,15,NaN,NaN
61.75,-105.75,-8.09,273.91,7,0.42034,0.42034
61.75,105.75,-7.04,348.97,9,1.2201,1.2201
44.75,56.25,9.49,131.83,16,0.49696,NaN
-31.75,-54.25,18.78,1250.7,9,2.7322,2.7322
31.75,54.25,17.46,77.14,16,NaN,NaN
51.25,102.75,-5.59,585.48,8,1.38,1.38
54.75,81.25,0.85,380.43,12,1.855,1.855
50.75,-91.75,0.97,668.35,1,2.2238,2.2238
50.75,91.75,-4.88,167.57,8,1.1187,1.1187
55.25,-120.25,1,492.56,1,2.299,2.299
22.25,33.75,25.95,6.33,16,NaN,NaN
-22.25,33.75,24.19,524.77,9,2.7404,2.7404
55.25,120.25,-7.15,406.19,8,1.7046,1.7046
39.25,-122.75,11.07,829.65,1,3.3982,3.3982
52.25,130.25,-2.99,535.51,8,1.8117,1.8117
-7.75,-56.25,26.14,2330.5,2,6.8131,6.8131
-71.25,160.25,-23.2,520.17,15,NaN,NaN
74.75,-51.25,-18.93,197.1,15,NaN,NaN
-74.75,51.25,-43.33,238.77,15,NaN,NaN
33.75,-117.25,17.38,311.06,10,1.3364,1.3364
33.75,117.25,15.44,680.42,12,3.1274,3.1274
-33.75,117.25,15.5,463.81,12,1.7904,1.7904
-9.25,-52.75,23.38,2268,2,6.9131,6.9131
25.75,20.75,23.76,7.54,16,NaN,NaN
19.25,30.75,27.64,14.49,16,NaN,NaN
-19.25,30.75,18.51,668.72,10,1.7946,1.7946
-84.75,-116.75,-30.81,38.69,15,NaN,NaN
-84.75,116.75,-50.5,31.26,15,NaN,NaN
65.25,81.75,-6.36,519.01,9,1.1682,1.1682
46.75,-122.25,7.87,1391.5,1,4.3193,4.3193
46.75,122.25,3.34,434.64,10,1.3041,1.3041
4.25,25.25,24.2,1580.4,2,6.8589,6.8589
-4.25,25.25,25.15,1458.8,2,5.8984,5.8984
-36.75,-71.25,12.29,1332.3,10,2.7601,2.7601
36.75,71.25,-3.86,405.07,16,0.73808,NaN
-9.25,-76.75,15.28,910.37,10,2.1136,2.1136
-28.75,-68.25,14.74,195.62,7,0.7353,0.7353
28.75,68.25,27.09,184.41,16,2.646,NaN
9.25,76.75,27.54,3116.1,8,6.0881,6.0881
49.25,-76.25,0.95,912.68,8,2.1501,2.1501
49.25,76.25,1.54,261.66,10,0.73868,0.73868
70.25,-78.25,-12.92,219.46,10,0.192,0.192
64.25,56.25,-2.69,599.45,8,1.4779,1.4779
70.25,78.25,-10.71,355.26,7,0.39157,0.39157
-70.25,78.25,-20.91,151.22,15,NaN,NaN
-69.25,40.75,-18.05,643.49,15,NaN,NaN
60.25,43.25,2.05,594.9,5,2.5928,2.5928
26.25,48.25,25.58,71.97,16,NaN,NaN
-89.25,-81.75,-48.15,8.67,15,NaN,NaN
-77.25,74.75,-47.1,45.49,15,NaN,NaN
-89.25,81.75,-49.61,7.64,15,NaN,NaN
-29.25,-51.75,17.77,1625.9,2,5.8001,5.8001
29.25,51.75,22.18,255.1,7,0.97629,0.97629
47.75,-52.75,5.18,1401.3,17,2.5914,NaN
47.75,52.75,9.08,155.81,10,0.44961,0.44961
24.75,75.25,26.06,743.92,12,1.523,1.523
-20.25,144.75,22.56,569.83,9,1.4046,1.4046
-72.75,-8.75,-24.51,471.66,15,NaN,NaN
-72.75,8.75,-29.35,364.31,15,NaN,NaN
2.25,19.25,24.88,1592.7,2,6.5682,6.5682
-2.25,19.25,25.24,1806.5,2,6.3954,6.3954
23.25,87.75,26.14,1471.7,12,3.3216,3.3216
39.25,-75.75,12.93,1104.7,12,3.1234,3.1234
39.25,75.75,11.35,92.15,16,2.3458,NaN
-27.25,-49.75,17.78,1693,9,5.3718,5.3718
9.75,27.75,27.94,785.35,10,2.4884,2.4884
-25.75,20.75,21.47,179.79,7,0.7387,0.7387
59.75,38.75,2.69,560.85,5,2.4543,2.4543
-83.25,-138.25,-22.5,106.3,15,NaN,NaN
-83.25,138.25,-41.1,98.42,15,NaN,NaN
-84.25,-27.25,-36.07,138.86,15,NaN,NaN
-84.25,27.25,-49.22,24.07,15,NaN,NaN
44.75,43.75,10.28,416.48,12,1.2636,1.2636
-84.75,-11.75,-41.14,90.02,15,NaN,NaN
-84.75,11.75,-46.14,36.16,15,NaN,NaN
-7.25,-37.75,25.35,1357.4,10,2.8955,2.8955
7.25,37.75,17.81,1293.3,12,3.2365,3.2365
-7.25,37.75,22.33,1388.3,9,4.2949,4.2949
66.75,-158.75,-4.52,312.87,7,0.83007,0.83007
61.25,-131.25,-6.32,401.47,7,0.82228,0.82228
61.25,131.25,-11.22,248.44,8,1.5542,1.5542
52.25,60.25,2.54,319.82,10,0.82798,0.82798
-78.75,-140.25,-24.25,285.96,15,NaN,NaN
52.25,-77.25,-2.53,664.39,9,1.256,1.256
52.25,77.25,2.74,275.54,10,0.7776,0.7776
-78.75,140.25,-37,124.34,15,NaN,NaN
59.25,-159.25,-0.09,720.82,7,1.2061,1.2061
-9.75,27.75,19.84,1127.4,8,4.1314,4.1314
1.75,13.75,24.02,1614.8,2,6.3543,6.3543
-1.75,13.75,24.34,1847,2,5.9812,5.9812
-86.75,-175.75,-46.53,53.53,15,NaN,NaN
-86.75,175.75,-47.56,51.15,15,NaN,NaN
35.25,8.75,17.12,387.04,7,0.99892,0.99892
51.25,-102.25,1.44,465.79,12,1.6547,1.6547
51.25,102.25,-7.86,433.91,8,0.96267,0.96267
-17.25,-57.25,25.94,1215.8,11,6.0084,6.0084
11.75,79.75,28.17,1353,13,3.7656,NaN
13.25,99.25,24.14,1319.2,2,6.5943,6.5943
34.75,-109.75,12.32,249.92,10,0.67817,0.67817
34.75,109.75,14.76,700.05,12,2.1887,2.1887
-74.25,151.75,-30.98,332.32,15,NaN,NaN
-10.25,-48.25,27.37,1597.1,9,3.9703,3.9703
