NPP
37.55

24.55
13
14.4
16.6
15.1
21
56.4
10.3
15.6
15
16.6
106
38.4
22.5
54.2
56
77.644
39.96
45.09

48.33

33.075

56.0151

53.4177
47.18295
75.35
77.644
51.75
52.875
58.23
59.9
56
44.63
60.2
61.85

59.445
48.6
47
67.838
76
55.927
46
60.2
34
53
59.8
61.2
54.2
53.2
48

149
50.2
62.1

58.5
59
65
48

56
69.85
68.97
49.8
58.2
47.35

52

44.91

51
66.4
53.4

62.3

57.8

50.28
56.4
49
60
44.1
47.9
57
56.4

83
62.5
56.6


50.3
46.4
60
61
49
69.6
43.4
66.9
60.3
80.5


66.3
65.2
62.5
62.2
61.1
54.2
53.3
49.9
49.2
48.9
47.9
46.4
46.2
44.3
39.9
62

48.69


48.92

55

64.2

35
39.4
34.2
56.4

54.9

48.05
69.7
60
63
62.7
54.3
56.4
47
50.3
57.5
63.8


63.6
53.6
55.9
64
53.6
70
75.8
57
54
62.6
61.6
64
53.5
55.43

65
55.7
54.46

53.76

62.1
59.74

49.82

65.5

70
48.9
55.77
56.8
60.4
69
59.9
56.6

60.18
53.17
53.4
55.8
59.6

48.8

47.7

59.8
64

73.7

72.2
56.4

40.55

68.18

48.69
54.9

63
61.9
63.3
58
56.02

45.5
56.8

63

61.4

54.2

56.7

46.9

39.7

68.66
70
65.3
55.4
63

62.6

63.7

61.9

61.9

58.4

58
56.0325

46.65

73.01

53.4
65.8

63.4

54.5
74.3
65.51

59.22

66
54

41.2
61.3

41.8
52
45.1
46

62.4
53.3
61
73.4

67
66
76.8
67.2
81
83.8
55.4
71.5
74.3
77.3
72
68.4
53.4
60
55
64.5
65.208
62
77
55.87
71.1
58.8
51.48
64.9
50.25138426

51
57.5
65.9
53.52

43

37

44

