# Global soil respiration database version 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rs_max,Rs_maxday,Rs_min,Rs_minday,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,Lat_Adj,Long_Adj,Lat_Round,Long_Round,MAP_Del,MAT_Del,PAnnual_Del,TAnnual_Del,Year,PRECIP_SD,TAIR_SD,SPI,Study_TS_Annual,TS_Flag,Annual_TS_Coverage,TS_Source,pdsi_pm,pdsi
1757,00:00.0,4505,Pregitzer,,,BBL,USA,Wisconsin,FACTS-II Aspen FACE,2007,1,45.68,-89.63,490,"CO2, O3",534 ppm; 36 ppb,,10,Acer saccharum; Populus tremuloides,Temperate,Forest,Unmanaged,Deciduous,Aggrading,,Dry,,,,,,,,,,,IRGA,,,,,,,,,,,,,,,,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,-0.37,45.75,-89.75,771.86,4.59,741.5,5.61,2007,140.51,0.87,-0.216,,,,,,-0.036
1758,00:00.0,4481,Ã–quist,,Q10,BBL,Sweden,,Vindeln Experimental Forest,2003,1,67.18,19.63,350,None,,,,Picea abies,Boreal,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,,,,,Gas chromatography,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.72727273,,,,,,,,,,,,,,,,,,,,NEP from personal communication and given in g CO2/m2/yr--mistake?,-0.18,0.37,67.25,19.75,488.78,-0.89,331,-0.45,2003,96.216,0.926,-1.64,,,,,,1.653
1759,00:00.0,4481,Ã–quist,,Q10,BBL,Sweden,,Vindeln Experimental Forest,2003,1,67.18,19.63,350,Shallow soil frost,,,,Picea abies,Boreal,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,,,,,Gas chromatography,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.72727273,,,,,,,,,,,,,,,,,,,,NEP from personal communication and given in g CO2/m2/yr--mistake?,-0.18,0.37,67.25,19.75,488.78,-0.89,331,-0.45,2003,96.216,0.926,-1.64,,,,,,1.653
1760,00:00.0,4481,Ã–quist,,Q10,BBL,Sweden,,Vindeln Experimental Forest,2003,1,67.18,19.63,350,Deep soil frost,,,,Picea abies,Boreal,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,,,,,Gas chromatography,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.72727273,,,,,,,,,,,,,,,,,,,,NEP from personal communication and given in g CO2/m2/yr--mistake?,-0.18,0.37,67.25,19.75,488.78,-0.89,331,-0.45,2003,96.216,0.926,-1.64,,,,,,1.653
1761,00:00.0,4476,Nouvellon,,Q01,BBL,Congo,,Kissoko,2005,1,-4.74,12.02,100,Disk harrowing,,,1,Eucalyptus spp.,Tropical,Forest,Managed,Deciduous,Aggrading,Ferralic arenosol,Dry,1.3,,92,5,3,25,1274,,,,IRGA,14,1,Comparison,662,100,,,,,,,158,505,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,,,2930,,Rs spatial err estimated from figure,-0.26,-0.02,-4.75,12.25,1206.03,25.16,883.9,25.47,2005,217.771,0.481,-1.479,,,,,1.66,0.676
1762,00:00.0,4476,Nouvellon,,Q01,BBL,Congo,,Kissoko,2005,1,-4.74,12.02,100,Herbicide,,,1,Eucalyptus spp.,Tropical,Forest,Managed,Deciduous,Aggrading,Ferralic arenosol,Dry,1.3,,92,5,3,25,1274,,,,IRGA,14,1,Comparison,653,100,,,,,,,197,456,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,,,,,,2930,,Rs spatial err estimated from figure,-0.26,-0.02,-4.75,12.25,1206.03,25.16,883.9,25.47,2005,217.771,0.481,-1.479,,,,,1.66,0.676
1763,00:00.0,4471,Nilsen,,,BBL,Norway,,GjÃ¸vik,2003,1,60.8,10.48,500,Thinned,820/ha (in 1971),,,Picea abies,Boreal,Forest,Managed,Evergreen,Aggrading,Spodosols (Typic Haplorthods),Dry,,,,,,,,,,,IRGA,,,,,,,,,,,,,,,,,,,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,4330,2840,1490,1105,385,2630,8250,,,0.2,-0.48,60.75,10.25,716.15,4.45,683.3,5.46,2003,103.786,1.086,-0.317,,,,,,1.21
1764,00:00.0,4471,Nilsen,,,BBL,Norway,,GjÃ¸vik,2003,1,60.8,10.48,500,Thinned,1100/ha (in 1971),,,Picea abies,Boreal,Forest,Managed,Evergreen,Aggrading,Spodosols (Typic Haplorthods),Dry,,,,,,,,,,,IRGA,,,,,,,,,,,,,,,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,4520,2995,1525,1105,420,2550,9290,,,0.2,-0.48,60.75,10.25,716.15,4.45,683.3,5.46,2003,103.786,1.086,-0.317,,,,,,1.21
1765,00:00.0,4471,Nilsen,,,BBL,Norway,,GjÃ¸vik,2003,1,60.8,10.48,500,Thinned,2070/ha (in 1971),,,Picea abies,Boreal,Forest,Managed,Evergreen,Aggrading,Spodosols (Typic Haplorthods),Dry,,,,,,,,,,,IRGA,,,,,,,,,,,,,,,,,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,5630,3785,1845,1305,540,2530,8890,,,0.2,-0.48,60.75,10.25,716.15,4.45,683.3,5.46,2003,103.786,1.086,-0.317,,,,,,1.21
1766,00:00.0,4466,Murphy,,,BBL,Panama,,Sardinilla Project,2004,1,9.32,-79.63,,Diversity,1 species,,3,Luehea seemanii; Cordia alliodora; Anacardium excelsum; Hura crepitans; Cedrela odorata; Tabebuia rosea,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Tropudalfs and Aquic Tropudalfs,Dry,9.1,,,,,26.5,1850,,,,IRGA,3.5,0.167,,1985,1185,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,,,,,,,,,-0.32,-0.37,9.25,-79.75,2790.4,26.23,3064.3,27.08,2004,323.524,0.536,0.847,,,,,,-2.703
1767,00:00.0,4466,Murphy,,,BBL,Panama,,Sardinilla Project,2004,1,9.32,-79.63,,Diversity,3 species,,3,Luehea seemanii; Cordia alliodora; Anacardium excelsum; Hura crepitans; Cedrela odorata; Tabebuia rosea,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Tropudalfs and Aquic Tropudalfs,Dry,9.3,,,,,26.5,1850,,,,IRGA,3.5,0.167,,2116,976,,,,,,,,,,,,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3530,,,,,,,,,-0.32,-0.37,9.25,-79.75,2790.4,26.23,3064.3,27.08,2004,323.524,0.536,0.847,,,,,,-2.703
1768,00:00.0,4466,Murphy,,,BBL,Panama,,Sardinilla Project,2004,1,9.32,-79.63,,Diversity,6 species,,3,Luehea seemanii; Cordia alliodora; Anacardium excelsum; Hura crepitans; Cedrela odorata; Tabebuia rosea,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Tropudalfs and Aquic Tropudalfs,Dry,8.6,,,,,26.5,1850,,,,IRGA,3.5,0.167,,1819,757,,,,,,,,,,,,,,,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,,,,,,-0.32,-0.37,9.25,-79.75,2790.4,26.23,3064.3,27.08,2004,323.524,0.536,0.847,,,,,,-2.703
1769,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1995,1,19.84,-155.12,350,Fertilized,low ferilization,,1,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2500,200,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,300,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,2588,17.66,1995,794.521,0.449,-1.385,,,,,,1.197
1770,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1995,1,19.84,-155.12,350,Fertilized,high fertilization,,1,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2150,150,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,300,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,2588,17.66,1995,794.521,0.449,-1.385,,,,,,1.197
1771,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1995,1,19.84,-155.12,350,Fertilized,"low fertilization, 1x1 spacing",,1,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2550,150,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,400,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,2588,17.66,1995,794.521,0.449,-1.385,,,,,,1.197
1772,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1995,1,19.84,-155.12,350,Fertilized,"low fertilization, 3x3 spacing",,1,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2100,100,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,250,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,2588,17.66,1995,794.521,0.449,-1.385,,,,,,1.197
1773,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1996,1,19.84,-155.12,350,Fertilized,low ferilization,,2,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2250,200,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,400,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3382.5,17.64,1996,794.521,0.449,-0.385,,,,,,1.197
1774,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1996,1,19.84,-155.12,350,Fertilized,high fertilization,,2,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,1750,150,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,450,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3382.5,17.64,1996,794.521,0.449,-0.385,,,,,,1.197
1775,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1996,1,19.84,-155.12,350,Fertilized,"low fertilization, 1x1 spacing",,2,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2200,100,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,450,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3382.5,17.64,1996,794.521,0.449,-0.385,,,,,,1.197
1776,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1996,1,19.84,-155.12,350,Fertilized,"low fertilization, 3x3 spacing",,2,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,1850,50,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,400,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3382.5,17.64,1996,794.521,0.449,-0.385,,,,,,1.197
1777,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1997,1,19.84,-155.12,350,Fertilized,low ferilization,,3,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2200,200,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,450,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3687,17.53,1997,794.521,0.449,-0.001,,,,,,1.197
1778,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1997,1,19.84,-155.12,350,Fertilized,high fertilization,,3,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,1850,150,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,500,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3687,17.53,1997,794.521,0.449,-0.001,,,,,,1.197
1779,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1997,1,19.84,-155.12,350,Fertilized,"low fertilization, 1x1 spacing",,3,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2150,100,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,500,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3687,17.53,1997,794.521,0.449,-0.001,,,,,,1.197
1780,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1997,1,19.84,-155.12,350,Fertilized,"low fertilization, 3x3 spacing",,3,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,1850,50,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,475,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3687,17.53,1997,794.521,0.449,-0.001,,,,,,1.197
1781,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1998,1,19.84,-155.12,350,Fertilized,low ferilization,,4,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,1700,200,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,400,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3138.1,16.35,1998,794.521,0.449,-0.692,,,,,,1.197
1782,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1998,1,19.84,-155.12,350,Fertilized,high fertilization,,4,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,1800,150,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,500,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3138.1,16.35,1998,794.521,0.449,-0.692,,,,,,1.197
1783,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1998,1,19.84,-155.12,350,Fertilized,"low fertilization, 1x1 spacing",,4,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,2000,100,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,475,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3138.1,16.35,1998,794.521,0.449,-0.692,,,,,,1.197
1784,00:00.0,2011,Giardina,,Q01,BBL,USA,Hawaii,Hilo,1998,1,19.84,-155.12,350,Fertilized,"low fertilization, 3x3 spacing",,4,Eucalyptus saligna,Tropical,Forest,Managed,Evergreen,Aggrading,Typic Hydrudands,Dry,,,,,,,4000,,,,IRGA,30,1,,1600,150,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,450,,,,,,,3700,,,,,,,Rs and errors estimated from figure,0.16,0.12,19.75,-155.25,3688.12,16.99,3138.1,16.35,1998,794.521,0.449,-0.692,,,,,,1.197
1785,00:00.0,2018,Hamilton,,,BBL,USA,North Carolina,Duke FACE,1998,5,35.97,-79.08,,None,,100,15,Pinus taeda,Temperate,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,,,,,IRGA,,,Extraction,928,,19,,,,,,723,208,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2371,1932,428,705,,,,,,,,,,,6129,5128,1001,661,340,,1001,,,0.03,0.08,35.75,-79.25,1140.16,14.5,1258.6,15.76,1998,158.652,0.636,0.747,,,,,,1.871
1786,00:00.0,2018,Hamilton,,,BBL,USA,North Carolina,Duke FACE,1998,5,35.97,-79.08,,CO2,,100,15,Pinus taeda,Temperate,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,,,,,IRGA,,,Extraction,1176,,132,,,,,,611,565,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6273,5128,1037,662,375,,1001,,,0.03,0.08,35.75,-79.25,1140.16,14.5,1258.6,15.76,1998,158.652,0.636,0.747,,,,,,1.871
1787,00:00.0,2029,Hirsch,,Q02,BBL,Canada,Manitoba,BOREAS NSA-D1850; NOBS,1999,1,55.88,-98.48,,None,,,150,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,"Exponential, R=a exp(b(T-c))",Positive,kgC/ha/day,-5,19,,0.75,5,8.93,0.067,0,,,,1.68,2,2,2,2,,,,,,,,,,,,,,,,,,,5.3,42.2,8530,7100,1430,1230,200,,41800,70,LAI from Bond-Lamberty (2002); C from Wang (2003) and Gower (1997),0.12,0.48,55.75,-98.25,507.6,-3.16,500.1,-1.03,1999,66.442,1.236,-0.113,,,,,,-4.208
1788,00:00.0,2040,Jacinthe,,,BBL,USA,Ohio,Waterman farm,2000,1,40,-83.02,,Fertilized,244 kg N/ha,,1,Triticum aestivum,Temperate,Agriculture,Managed,Deciduous,Aggrading,Silt loam (Aeric Ochraqualf),Dry,,,,,,11,967,,11.4,1126,Gas chromatography,15,0.8,,437,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,40.25,-83.25,969.4,10.25,1093.2,10.43,2000,150.064,0.776,0.825,,,,,,1.252
1789,00:00.0,2040,Jacinthe,,,BBL,USA,Ohio,Waterman farm,2000,1,40,-83.02,,"Fertilized, mulch",244 kg N/ha; 8 Mg/ha,,1,Triticum aestivum,Temperate,Agriculture,Managed,Deciduous,Aggrading,Silt loam (Aeric Ochraqualf),Dry,,,,,,11,967,,11.4,1126,Gas chromatography,15,0.8,,651,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,40.25,-83.25,969.4,10.25,1093.2,10.43,2000,150.064,0.776,0.825,,,,,,1.252
1790,00:00.0,2040,Jacinthe,,,BBL,USA,Ohio,Waterman farm,2000,1,40,-83.02,,"Fertilized, mulch",244 kg N/ha; 16 Mg/ha,,1,Triticum aestivum,Temperate,Agriculture,Managed,Deciduous,Aggrading,Silt loam (Aeric Ochraqualf),Dry,,,,,,11,967,,11.4,1126,Gas chromatography,15,0.8,,773,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.02,40.25,-83.25,969.4,10.25,1093.2,10.43,2000,150.064,0.776,0.825,,,,,,1.252
1791,00:00.0,2049,Klopatek,,,BBL,USA,Washington,Wind River Canopy Crane Research Facilty,1999,1,45.82,-121.95,355,None,,,500,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Mature,Sandy loam (Entic vitrands),Dry,0.86,,,,,8.7,2500,,,,IRGA,30,1,,1194,,,,,,,,,,,,,,,,,,,,,Positive,,,,,0.92,15,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,680,4870,,,0.18,-0.05,45.75,-121.75,1790.91,9.16,1749.1,9.36,1999,246.971,0.524,-0.169,,,,,,1.128
1792,00:00.0,2049,Klopatek,,,BBL,USA,Washington,Wind River Canopy Crane Research Facilty,1999,1,45.82,-121.95,500,None,,,20,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Aggrading,Sandy loam (Entic vitrands),Dry,1,,,,,8.7,2500,,,,IRGA,30,1,,1367,,,,,,,,,,,,,,,,,,,,,Positive,,,,,0.88,15,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,600,7850,,,0.18,-0.05,45.75,-121.75,1790.91,9.16,1749.1,9.36,1999,246.971,0.524,-0.169,,,,,,1.128
1793,00:00.0,2049,Klopatek,,,BBL,USA,Washington,Wind River Canopy Crane Research Facilty,1999,1,45.82,-121.95,500,None,,,40,Pseudotsuga menziesii,Temperate,Forest,Natural,Evergreen,Aggrading,Sandy loam (Entic vitrands),Dry,1,,,,,8.7,2500,,,,IRGA,30,1,,883,,,,,,,,,,,,,,,,,,,,,Positive,,,,,0.84,15,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,805,8725,,,0.18,-0.05,45.75,-121.75,1790.91,9.16,1749.1,9.36,1999,246.971,0.524,-0.169,,,,,,1.128
1794,00:00.0,2095,Moore,,,BBL,Canada,Ontario,Mer Bleue,1999,1,40.4,-75.6,,None,,,,Chamaedaphne calyculata; Kalmia angustifolia; Ledum groenlandicum; Sphagnum spp.,Temperate,Wetland,Natural,Evergreen,Mature,Organic,Wet,,,,,,,,,,,IRGA,,,Subtraction,305,,,,,,,,115,240,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,500,70,310,225.8,84.3,,,,,,,1.3,,1244,244,1000,800,200,,189000,,,-0.4,-0.4,40.25,-75.75,1142.06,11.74,1121.6,12.38,1999,182.229,0.681,-0.112,,,,,,0.635
1795,00:00.0,2102,O'Neill,,,BBL,USA,Canada,Tok Junction,1997,1,63.33,-148.97,,None,,,,Populus tremuloides,Boreal,Forest,Natural,Deciduous,Mature,Silt loams (Pergelic Cryaquepts and Cryaquents),Dry,,,,,,,,,-4,272,IRGA,,,,,,,,,,,,,,,,,,,5.74,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,14,,0.5,10,0.247,0.155,0,,,None,7.36,4.71,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,16350,1420,,,,-0.33,-0.03,63.25,-148.75,432.74,-6.02,320,-4.98,1997,94.912,1.077,-1.188,,,,,,-0.197
1796,00:00.0,2102,O'Neill,,Q01,BBL,USA,Canada,Tok Junction,1997,1,63.33,-148.97,,None,,,7,Populus tremuloides,Boreal,Forest,Natural,Deciduous,Aggrading,Silt loams (Pergelic Cryaquepts and Cryaquents),Dry,,,,,,,,,-4,272,IRGA,,,,,,,,,,,,,,,,,,,3.16,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,10,,0.33,10,0.123,0.117,0,,,None,2.51,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,16350,1420,,,Seasonal Rs estimated from figure,-0.33,-0.03,63.25,-148.75,432.74,-6.02,320,-4.98,1997,94.912,1.077,-1.188,,,,,,-0.197
1797,00:00.0,2102,O'Neill,,,BBL,USA,Canada,Tok Junction,1997,1,63.33,-148.97,,None,,,,Picea glauca,Boreal,Forest,Natural,Evergreen,Mature,Silt loams (Pergelic Cryaquepts and Cryaquents),Dry,,,,,,,,,-4,272,IRGA,,,,,,,,,,,,,,,,,,,5.94,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,14,,0.41,10,0.407,0.1,0,,,None,7.01,2.73,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,10560,2360,,,,-0.33,-0.03,63.25,-148.75,432.74,-6.02,320,-4.98,1997,94.912,1.077,-1.188,,,,,,-0.197
1798,00:00.0,2102,O'Neill,,Q01,BBL,USA,Canada,Tok Junction,1997,1,63.33,-148.97,,None,,,7,Picea glauca,Boreal,Forest,Natural,Evergreen,Aggrading,Silt loams (Pergelic Cryaquepts and Cryaquents),Dry,,,,,,,,,-4,272,IRGA,,,,,,,,,,,,,,,,,,,3.16,,,,,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,10,,0.21,10,0.278,0.053,0,,,None,2.99,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,10560,2360,,,Seasonal Rs estimated from figure,-0.33,-0.03,63.25,-148.75,432.74,-6.02,320,-4.98,1997,94.912,1.077,-1.188,,,,,,-0.197
